id_univoco,time,tipo
NO004,2013-10-08T14:11:24Z,Variaz. parametro
NO004,2013-10-08T14:11:24Z,Variaz. parametro
NO004,2013-10-08T14:11:24Z,Variaz. parametro
NO004,2013-10-08T14:11:24Z,Variaz. parametro
NO004,2013-10-08T14:11:24Z,Variaz. parametro
NO004,2013-10-08T14:11:24Z,Variaz. parametro
NO004,2013-10-08T14:11:24Z,Variaz. limite allarme
NO004,2013-10-08T14:11:24Z,Variaz. limite allarme
NO004,2013-10-08T14:11:24Z,Variaz. limite allarme
NO004,2013-10-08T14:11:24Z,Funzioni
NO004,2013-10-08T14:11:27Z,Allarme
NO004,2013-10-08T14:11:48Z,Allarme
NO004,2013-10-08T14:49:55Z,Variaz. parametro
NO004,2013-10-08T14:49:55Z,Variaz. parametro
NO004,2013-10-08T14:49:55Z,Variaz. parametro
NO004,2013-10-08T16:39:27Z,Variaz. parametro
NO004,2013-10-08T20:49:16Z,Allarme
NO004,2013-10-08T20:49:47Z,Funzioni
NO004,2013-10-08T20:50:50Z,Variaz. parametro
NO004,2013-10-08T21:15:35Z,Allarme
NO004,2013-10-09T00:16:40Z,Allarme
NO004,2013-10-09T06:19:29Z,Allarme
NO004,2013-10-09T08:04:54Z,Allarme
NO004,2013-10-09T08:52:21Z,Allarme
NO004,2013-10-09T09:56:48Z,Variaz. limite allarme
NO004,2013-10-09T10:15:56Z,Funzioni
NO004,2013-10-09T10:16:28Z,Allarme
NO004,2013-10-09T10:17:20Z,Variaz. parametro
NO004,2013-10-09T15:08:46Z,Variaz. parametro
NO004,2013-10-09T15:09:19Z,Variaz. parametro
NO004,2013-10-09T15:10:35Z,Variaz. parametro
NO004,2013-10-10T00:03:35Z,Allarme
NO004,2013-10-10T00:03:42Z,Funzioni
NO004,2013-10-10T02:25:54Z,Allarme
NO004,2013-10-10T06:04:36Z,Allarme
NO004,2013-10-10T06:20:14Z,Allarme
NO004,2013-10-10T06:51:33Z,Allarme
NO004,2013-10-10T08:05:39Z,Allarme
NO004,2013-10-10T08:43:45Z,Allarme
NO004,2013-10-10T08:58:36Z,Funzioni
NO004,2013-10-10T08:59:37Z,Variaz. parametro
NO004,2013-10-10T10:10:35Z,Allarme
NO004,2013-10-10T10:17:39Z,Allarme
NO004,2013-10-10T10:22:19Z,Allarme
NO004,2013-10-10T11:04:27Z,Allarme
NO004,2013-10-10T11:16:13Z,Variaz. parametro
NO004,2013-10-10T11:23:32Z,Allarme
NO004,2013-10-10T11:25:30Z,Allarme
NO004,2013-10-10T11:26:53Z,Allarme
NO004,2013-10-10T11:27:50Z,Allarme
NO004,2013-10-10T11:29:15Z,Funzioni
NO004,2013-10-10T11:31:47Z,Allarme
NO004,2013-10-10T15:53:49Z,Allarme
NO004,2013-10-10T15:54:48Z,Allarme
NO004,2013-10-10T15:57:00Z,Allarme
NO004,2013-10-10T16:00:00Z,Allarme
NO004,2013-10-10T16:00:54Z,Funzioni
NO004,2013-10-10T16:09:33Z,Allarme
NO004,2013-10-10T16:10:19Z,Allarme
NO004,2013-10-10T16:12:15Z,Allarme
NO004,2013-10-10T16:13:11Z,Funzioni
NO004,2013-10-10T16:14:01Z,Funzioni
NO004,2013-10-10T16:14:19Z,Variaz. parametro
NO004,2013-10-10T16:14:47Z,Allarme
NO004,2013-10-10T16:15:31Z,Funzioni
NO004,2013-10-10T16:15:37Z,Registrazione
NO004,2013-10-10T16:17:15Z,Allarme
NO004,2013-10-10T16:19:29Z,Funzioni
NO004,2013-10-10T16:22:14Z,Allarme
NO004,2013-10-10T16:23:25Z,Allarme
NO004,2013-10-10T16:24:29Z,Allarme
NO004,2013-10-10T16:25:30Z,Funzioni
NO004,2013-10-10T16:27:25Z,Allarme
NO004,2013-10-10T16:29:26Z,Allarme
NO004,2013-10-10T16:29:58Z,Allarme
NO004,2013-10-10T16:30:35Z,Allarme
NO004,2013-10-10T16:32:45Z,Allarme
NO004,2013-10-10T16:33:03Z,Funzioni
NO004,2013-10-10T16:33:57Z,Allarme
NO004,2013-10-10T16:37:28Z,Allarme
NO004,2013-10-10T16:37:54Z,Funzioni
NO004,2013-10-10T16:38:41Z,Variaz. parametro
NO004,2013-10-10T16:39:04Z,Funzioni
NO004,2013-10-10T16:42:46Z,Funzioni
NO004,2013-10-10T16:49:35Z,Funzioni
NO004,2013-10-10T16:51:03Z,Allarme
NO004,2013-10-10T16:52:01Z,Allarme
NO004,2013-10-10T18:00:47Z,Allarme
NO004,2013-10-10T18:06:56Z,Allarme
NO004,2013-10-10T18:13:39Z,Allarme
NO004,2013-10-10T18:15:46Z,Allarme
NO004,2013-10-10T18:18:28Z,Allarme
NO004,2013-10-10T18:32:09Z,Allarme
NO004,2013-10-10T18:32:22Z,Allarme
NO004,2013-10-10T18:32:48Z,Allarme
NO004,2013-10-10T18:37:17Z,Allarme
NO004,2013-10-10T18:37:37Z,Funzioni
NO004,2013-10-10T18:40:32Z,Allarme
NO004,2013-10-10T21:30:51Z,Allarme
NO004,2013-10-10T22:35:11Z,Allarme
NO004,2013-10-10T22:40:30Z,Allarme
NO004,2013-10-10T22:46:57Z,Allarme
NO004,2013-10-10T22:51:12Z,Allarme
NO004,2013-10-10T22:52:49Z,Allarme
